VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-02-24 23:09:19,2023-02-24 23:31:19,1,15.46,1,N,79,224,1,52.15,1,0.5,7.82,0,0.3,64.27,2.5,0
2,2023-03-01 12:11:31,2023-03-01 12:29:31,2,2.85,1,N,158,45,1,18.63,0,0.5,2.79,0,0.3,22.22,0,0
1,2023-10-03 22:04:18,2023-10-03 22:42:18,4,3.81,1,N,263,90,1,31.03,0,0.5,4.65,0,0.3,36.48,0,0
2,2023-05-18 05:23:20,2023-05-18 06:09:20,4,4.03,1,N,141,249,1,35.58,0,0.5,5.34,0,0.3,41.72,0,0
2,2023-09-20 08:08:09,2023-09-20 08:24:09,4,14.73,1,N,211,262,2,47.33,0,0.5,0,0,0.3,48.13,0,0
2,2023-06-01 17:27:08,2023-06-01 18:13:08,4,4.84,1,N,229,163,1,37.6,1,0.5,5.64,0,0.3,45.04,0,0
2,2023-12-27 05:35:15,2023-12-27 06:10:15,4,8.07,1,N,243,42,1,40.17,0,0.5,6.03,0,0.3,47,0,0
2,2023-07-18 10:45:34,2023-07-18 11:32:34,3,3.97,1,N,103,128,1,35.92,0,0.5,5.39,0,0.3,44.61,2.5,0
2,2023-08-07 05:15:43,2023-08-07 05:20:43,4,3.22,1,N,100,194,2,13.05,0,0.5,0,0,0.3,16.35,2.5,0
1,2023-09-24 13:59:25,2023-09-24 14:29:25,1,7.91,1,N,148,68,1,37.28,0.5,0.5,5.59,0,0.3,44.17,0,0
2,2023-04-26 15:13:19,2023-04-26 15:30:19,4,8.68,1,N,232,261,1,32.7,0,0.5,4.91,0,0.3,38.41,0,0
1,2023-05-26 08:50:26,2023-05-26 09:03:26,1,4.03,1,N,236,142,2,19.08,0,0.5,0,3.64,0.3,23.52,0,0
2,2023-07-13 10:48:50,2023-07-13 10:58:50,2,12.79,3,N,151,161,1,39.47,0.5,0.5,5.92,0,0.3,46.69,0,0
1,2023-09-04 16:15:15,2023-09-04 17:00:15,4,2.55,1,N,142,232,2,31.38,1,0.5,0,0,0.3,33.18,0,0
1,2023-08-02 23:52:43,2023-08-02 24:26:43,3,11.72,1,N,229,90,2,48.8,0.5,0.5,0,0,0.3,50.1,0,0
1,2023-10-11 23:30:13,2023-10-11 23:50:13,3,11,1,N,42,239,1,40,0,0.5,6,0,0.3,49.3,2.5,0
1,2023-08-08 06:48:40,2023-08-08 07:18:40,3,5.43,1,N,103,140,1,31.08,1,0.5,4.66,0,0.3,40.04,2.5,0
1,2023-06-26 21:10:40,2023-06-26 21:59:40,1,2.01,1,N,246,42,1,32.03,0,0.5,4.8,0,0.3,37.63,0,0
2,2023-01-16 15:25:12,2023-01-16 16:05:12,1,4.91,1,N,75,114,2,34.78,0,0.5,0,0,0.3,38.08,2.5,0
2,2023-05-07 11:34:38,2023-05-07 12:21:38,4,5.76,1,N,263,79,2,40.4,0,0.5,0,1.23,0.3,42.43,0,0
2,2023-09-06 21:21:19,2023-09-06 21:29:19,1,14.35,1,N,114,143,1,42.38,0.5,0.5,6.36,0,0.3,50.04,0,0
1,2023-08-28 19:39:30,2023-08-28 20:13:30,2,0.63,1,N,4,41,1,21.08,0,0.5,3.16,0,0.3,27.54,2.5,0
2,2023-04-03 18:22:48,2023-04-03 18:39:48,1,9.43,1,N,68,148,2,34.58,0,0.5,0,0,0.3,37.88,2.5,0
2,2023-07-02 14:48:48,2023-07-02 15:15:48,1,1.92,1,N,125,261,2,20.8,0.5,0.5,0,0,0.3,22.1,0,0
2,2023-05-25 07:13:20,2023-05-25 07:48:20,1,4.23,1,N,116,103,2,30.58,0,0.5,0,0,0.3,31.38,0,0
2,2023-09-15 08:34:04,2023-09-15 08:57:04,4,11.28,3,Y,237,114,1,42.2,0,0.5,6.33,0,0.3,49.33,0,0
2,2023-11-27 18:59:58,2023-11-27 19:28:58,2,10.54,1,N,113,24,2,43.35,1,0.5,0,5.81,0.3,50.96,0,0
2,2023-03-26 09:36:11,2023-03-26 09:44:11,2,10.22,1,N,158,88,2,32.05,0,0.5,0,0,0.3,32.85,0,0
2,2023-06-22 06:08:37,2023-06-22 06:34:37,1,12.36,1,N,144,50,2,46.4,0,0.5,0,0,0.3,47.2,0,0
2,2023-05-21 09:11:41,2023-05-21 09:42:41,2,9.44,1,N,140,209,2,41.6,0,0.5,0,0,0.3,42.4,0,0
1,2023-09-02 15:48:50,2023-09-02 16:23:50,1,1.33,1,N,238,120,1,23.33,0.5,0.5,3.5,4.42,0.3,32.55,0,0
1,2023-02-17 15:50:14,2023-02-17 16:29:14,4,10.14,1,N,127,90,1,47.35,0,0.5,7.1,0,0.3,55.25,0,0
1,2023-04-24 20:26:24,2023-04-24 20:31:24,1,7.99,1,N,100,239,2,24.98,1,0.5,0,0,0.3,29.28,2.5,0
2,2023-04-08 20:55:18,2023-04-08 21:17:18,1,10.25,1,N,194,142,1,39.13,0.5,0.5,5.87,0,0.3,46.3,0,0
2,2023-03-25 05:18:06,2023-03-25 05:27:06,1,8.33,1,N,148,166,1,27.83,0,0.5,4.17,0,0.3,32.8,0,0
2,2023-06-15 22:27:00,2023-06-15 23:03:00,3,1.91,2,Y,163,162,1,25.28,1,0.5,3.79,0,0.3,32.12,0,1.25
2,2023-10-03 09:02:30,2023-10-03 09:36:30,2,2.37,1,N,43,239,2,25.43,0,0.5,0,0,0.3,28.73,2.5,0
2,2023-04-16 21:38:24,2023-04-16 21:50:24,3,7.96,1,N,87,79,1,28.4,0,0.5,4.26,0,0.3,35.96,2.5,0
2,2023-04-13 20:53:58,2023-04-13 21:37:58,2,7.73,1,Y,246,234,1,43.83,0,0.5,6.57,0,0.3,51.2,0,0
2,2023-06-16 11:13:17,2023-06-16 11:36:17,2,1.41,2,N,224,74,2,17.52,0,0.5,0,0,0.3,19.57,0,1.25
2,2023-10-05 21:14:59,2023-10-05 21:47:59,1,6.49,1,N,120,125,1,35.23,0,0.5,5.28,0,0.3,41.31,0,0
2,2023-04-13 02:48:38,2023-04-13 02:53:38,1,15.39,1,N,161,68,1,43.48,0.5,0.5,6.52,7.53,0.3,58.83,0,0
1,2023-04-25 05:24:56,2023-04-25 05:45:56,3,12.24,1,N,128,4,1,43.6,0.5,0.5,6.54,0,0.3,51.44,0,0
2,2023-02-26 03:51:55,2023-02-26 04:02:55,1,4.34,1,N,107,166,2,18.85,0,0.5,0,0,0.3,19.65,0,0
2,2023-11-27 21:00:36,2023-11-27 21:19:36,3,6.64,1,N,158,263,2,28.6,0,0.5,0,0,0.3,29.4,0,0
1,2023-09-14 03:36:40,2023-09-14 04:18:40,2,11,1,N,151,249,2,51,0,0.5,0,0,0.3,51.8,0,0
1,2023-01-07 10:28:15,2023-01-07 10:34:15,4,12.97,1,N,161,125,1,37.93,0.5,0.5,5.69,0,0.3,44.92,0,0
2,2023-07-07 21:30:40,2023-07-07 21:50:40,2,13.89,1,N,24,246,2,47.23,0,0.5,0,0,0.3,50.53,2.5,0
2,2023-03-07 23:23:38,2023-03-07 24:10:38,3,8.35,1,N,144,75,1,46.88,0,0.5,7.03,0,0.3,54.71,0,0
1,2023-06-20 19:31:02,2023-06-20 19:47:02,3,14.17,1,N,229,128,1,45.93,0,0.5,6.89,0,0.3,53.62,0,0
2,2023-04-14 17:46:09,2023-04-14 17:55:09,1,13.22,1,N,243,137,2,40.05,0,0.5,0,0,0.3,40.85,0,0
2,2023-08-10 23:55:43,2023-08-10 24:15:43,3,10.65,1,Y,100,246,2,39.13,0,0.5,0,2.25,0.3,44.68,2.5,0
2,2023-01-11 10:14:39,2023-01-11 10:24:39,2,9.55,1,N,230,143,2,31.38,0.5,0.5,0,0,0.3,32.68,0,0
1,2023-03-20 15:29:14,2023-03-20 16:04:14,4,3.8,1,N,127,202,1,29.5,0.5,0.5,4.43,2.52,0.3,37.75,0,0
2,2023-10-09 06:35:43,2023-10-09 07:22:43,3,1.92,1,N,211,239,1,30.8,0,0.5,4.62,0,0.3,36.22,0,0
2,2023-12-11 12:25:56,2023-12-11 12:37:56,4,14.63,1,N,194,152,1,45.08,0,0.5,6.76,0,0.3,52.64,0,0
1,2023-06-01 19:49:35,2023-06-01 20:30:35,1,4.95,1,N,244,79,1,35.38,0.5,0.5,5.31,0,0.3,41.99,0,0
2,2023-06-05 15:48:22,2023-06-05 15:56:22,4,14.93,1,N,116,125,1,43.83,0,0.5,6.57,0,0.3,51.2,0,0
1,2023-05-27 02:00:51,2023-05-27 02:26:51,3,3.41,1,N,237,125,1,24.03,0,0.5,3.6,0,0.3,28.43,0,0
2,2023-07-06 18:18:43,2023-07-06 18:27:43,2,1.42,1,N,262,230,1,10.55,1,0.5,1.58,0,0.3,13.93,0,0
2,2023-11-24 07:06:38,2023-11-24 07:32:38,2,12.35,1,N,140,50,1,46.38,0,0.5,6.96,0,0.3,54.14,0,0
1,2023-04-08 11:28:59,2023-04-08 11:57:59,4,6.68,1,N,153,141,1,33.7,0,0.5,5.06,0,0.3,39.56,0,0
2,2023-05-12 09:30:55,2023-05-12 09:54:55,4,1.18,1,N,238,158,1,17.45,0,0.5,2.62,2.22,0.3,23.09,0,0
1,2023-07-21 14:48:44,2023-07-21 15:23:44,1,6.25,1,N,238,100,2,35.63,0,0.5,0,0.73,0.3,37.16,0,0
1,2023-10-09 15:44:59,2023-10-09 16:17:59,3,6.22,1,N,239,100,2,34.55,0,0.5,0,0,0.3,35.35,0,0
2,2023-04-19 05:42:06,2023-04-19 06:28:06,4,10.92,1,N,143,140,1,52.8,0,0.5,7.92,0,0.3,61.52,0,0
2,2023-03-11 14:42:55,2023-03-11 14:57:55,4,6.03,1,N,113,116,1,25.08,0,0.5,3.76,0,0.3,29.64,0,0
1,2023-11-07 04:46:21,2023-11-07 05:25:21,3,6.23,3,N,262,103,2,37.58,1,0.5,0,0,0.3,39.38,0,0
2,2023-11-19 16:21:23,2023-11-19 17:00:23,4,13.56,1,Y,48,236,1,55.9,0,0.5,8.39,0,0.3,67.59,2.5,0
2,2023-10-09 21:38:32,2023-10-09 21:47:32,3,14.13,1,N,42,238,1,42.33,0,0.5,6.35,2.09,0.3,54.07,2.5,0
2,2023-09-17 14:44:07,2023-09-17 14:55:07,4,13.1,1,N,243,261,1,40.75,0,0.5,6.11,2.3,0.3,49.96,0,0
1,2023-07-10 19:58:39,2023-07-10 20:10:39,1,6.1,1,N,128,209,1,23.75,0,0.5,3.56,1.9,0.3,30.01,0,0
2,2023-04-11 16:37:04,2023-04-11 17:11:04,3,7.09,1,N,116,194,2,37.23,0,0.5,0,0,0.3,38.03,0,0
1,2023-10-19 08:27:35,2023-10-19 09:07:35,2,2.57,1,N,79,234,1,28.93,0,0.5,4.34,0,0.3,36.57,2.5,0
2,2023-08-26 23:37:38,2023-08-26 23:47:38,1,6.33,1,N,243,113,1,23.33,1,0.5,3.5,0,0.3,28.63,0,0
1,2023-01-04 14:28:00,2023-01-04 15:13:00,2,0.93,1,N,4,238,1,27.33,0,0.5,4.1,0,0.3,34.73,2.5,0
1,2023-08-02 04:30:47,2023-08-02 05:17:47,2,10.43,1,N,239,232,1,52.08,0.5,0.5,7.81,0,0.3,61.19,0,0
2,2023-02-28 10:56:02,2023-02-28 11:24:02,1,1.68,1,N,161,7,2,20.7,0,0.5,0,4.49,0.3,25.99,0,0
1,2023-03-16 06:28:54,2023-03-16 06:40:54,1,12.26,1,N,100,211,1,39.15,0,0.5,5.87,0,0.3,48.32,2.5,0
1,2023-03-22 13:23:21,2023-03-22 14:07:21,4,8.89,2,N,249,148,1,46.73,0,0.5,7.01,0,0.3,55.79,0,1.25
2,2023-05-02 18:22:34,2023-05-02 19:10:34,1,7.87,1,N,103,50,1,46.18,0,0.5,6.93,0,0.3,56.41,2.5,0
1,2023-04-24 09:05:02,2023-04-24 09:40:02,4,0.81,1,N,262,153,2,22.03,0,0.5,0,0.74,0.3,23.57,0,0
1,2023-08-02 14:26:53,2023-08-02 15:01:53,2,14.49,1,N,79,125,1,56.23,0.5,0.5,8.43,1.21,0.3,69.67,2.5,0
2,2023-05-20 23:22:14,2023-05-20 23:53:14,3,9.44,1,N,87,194,1,41.6,0,0.5,6.24,0,0.3,51.14,2.5,0
1,2023-07-08 23:13:39,2023-07-08 23:42:39,3,7.11,1,N,236,74,2,34.78,0,0.5,0,0,0.3,35.58,0,0
2,2023-09-11 19:26:31,2023-09-11 19:44:31,3,6.06,1,N,7,148,1,26.65,1,0.5,4,7.89,0.3,42.84,2.5,0
1,2023-09-06 19:13:38,2023-09-06 19:22:38,2,9.96,1,N,231,202,1,31.9,0,0.5,4.78,0,0.3,37.48,0,0
1,2023-12-09 13:59:48,2023-12-09 14:08:48,2,0.97,1,N,24,211,1,9.43,0.5,0.5,1.41,0,0.3,14.64,2.5,0
2,2023-11-11 07:56:00,2023-11-11 08:43:00,2,2.97,1,N,162,163,1,33.42,0,0.5,5.01,0,0.3,39.23,0,0
2,2023-02-19 11:12:12,2023-02-19 11:46:12,3,4.54,1,N,87,237,1,30.85,0.5,0.5,4.63,0,0.3,39.28,2.5,0
2,2023-11-23 04:06:49,2023-11-23 04:40:49,1,13.03,1,N,263,143,2,52.08,1,0.5,0,0,0.3,53.88,0,0
1,2023-12-10 21:27:35,2023-12-10 22:03:35,1,11.35,1,N,161,158,1,48.88,0,0.5,7.33,0,0.3,57.01,0,0
2,2023-12-04 15:50:04,2023-12-04 16:26:04,2,10.52,1,N,194,125,1,46.8,0.5,0.5,7.02,0,0.3,55.12,0,0
2,2023-09-17 06:21:18,2023-09-17 06:51:18,4,11.99,1,N,68,45,2,47.48,0,0.5,0,1.95,0.3,52.73,2.5,0
1,2023-02-15 00:09:20,2023-02-15 00:23:20,1,8.57,1,N,164,75,1,30.93,0,0.5,4.64,0,0.3,36.37,0,0
2,2023-01-23 11:09:59,2023-01-23 11:55:59,1,12.93,1,N,161,140,1,57.83,0,0.5,8.67,0,0.3,67.3,0,0
2,2023-06-12 23:56:11,2023-06-12 24:01:11,3,9.44,1,N,13,7,1,28.6,1,0.5,4.29,0,0.3,37.19,2.5,0
2,2023-03-19 20:48:59,2023-03-19 21:18:59,1,5.95,1,N,7,13,1,32.38,0,0.5,4.86,0,0.3,40.54,2.5,0
2,2023-05-23 04:46:17,2023-05-23 05:28:17,2,3.41,1,N,128,153,2,32.03,0,0.5,0,0,0.3,32.83,0,0
1,2023-04-03 15:40:58,2023-04-03 15:51:58,1,10.8,1,N,261,48,1,35,0,0.5,5.25,0,0.3,41.05,0,0
1,2023-07-14 00:30:39,2023-07-14 00:56:39,3,6.38,1,N,233,186,2,31.45,0,0.5,0,6.74,0.3,38.99,0,0
2,2023-03-25 18:51:30,2023-03-25 19:00:30,1,8.65,1,N,170,231,1,28.63,0,0.5,4.29,0,0.3,33.72,0,0
1,2023-11-22 00:15:03,2023-11-22 00:47:03,3,10.37,1,N,246,137,2,44.43,0,0.5,0,0,0.3,45.23,0,0
2,2023-02-26 03:31:41,2023-02-26 03:44:41,1,10.26,1,Y,142,164,1,34.65,0.5,0.5,5.2,0,0.3,41.15,0,0
2,2023-07-03 15:38:57,2023-07-03 16:03:57,4,2.58,1,N,237,79,1,21.45,1,0.5,3.22,7.5,0.3,33.97,0,0
2,2023-01-08 03:09:14,2023-01-08 03:18:14,1,6.59,1,N,229,41,1,23.48,0.5,0.5,3.52,0,0.3,28.3,0,0
2,2023-05-10 16:57:08,2023-05-10 17:19:08,2,6.29,1,N,232,114,1,29.23,0,0.5,4.38,3.95,0.3,38.36,0,0
1,2023-07-07 15:50:11,2023-07-07 16:03:11,1,15.24,1,N,162,4,1,47.1,0.5,0.5,7.07,5.16,0.3,60.63,0,0
2,2023-10-01 19:52:13,2023-10-01 20:13:13,1,1.47,1,N,211,263,1,16.68,0,0.5,2.5,1.43,0.3,21.41,0,0
2,2023-01-15 22:29:06,2023-01-15 23:06:06,1,14.75,3,N,142,162,1,57.88,0,0.5,8.68,0,0.3,67.36,0,0
1,2023-04-22 16:08:33,2023-04-22 16:35:33,2,13.43,1,N,137,229,2,49.58,0.5,0.5,0,0,0.3,50.88,0,0
1,2023-03-24 19:06:11,2023-03-24 19:35:11,1,5.45,1,N,236,113,1,30.63,0,0.5,4.59,0,0.3,36.02,0,0
2,2023-03-12 08:25:01,2023-03-12 08:55:01,3,15.19,1,N,233,261,1,55.48,0.5,0.5,8.32,0,0.3,65.1,0,0
2,2023-04-25 11:29:48,2023-04-25 12:18:48,1,7.77,1,N,263,244,2,46.43,0,0.5,0,0,0.3,47.23,0,0
2,2023-10-10 06:23:16,2023-10-10 06:40:16,2,5.84,1,N,161,153,2,25.6,0,0.5,0,0,0.3,26.4,0,0
2,2023-11-27 06:04:51,2023-11-27 06:25:51,3,0.88,1,N,186,24,1,15.2,0,0.5,2.28,0,0.3,18.28,0,0
1,2023-01-14 17:15:22,2023-01-14 17:53:22,2,12.49,1,Y,246,7,1,52.73,0,0.5,7.91,0,0.3,61.44,0,0
2,2023-11-19 20:28:06,2023-11-19 20:55:06,4,12.78,1,N,103,164,1,47.95,1,0.5,7.19,0.57,0.3,60.01,2.5,0
2,2023-07-05 22:14:28,2023-07-05 22:53:28,4,1.44,1,N,75,238,1,25.6,0,0.5,3.84,0,0.3,32.74,2.5,0
1,2023-11-20 02:00:14,2023-11-20 02:44:14,3,6.03,1,N,79,186,2,39.58,0.5,0.5,0,0,0.3,43.38,2.5,0
2,2023-09-27 07:46:59,2023-09-27 08:32:59,4,6.37,1,N,163,13,1,41.43,1,0.5,6.21,0,0.3,49.44,0,0
2,2023-09-23 05:50:34,2023-09-23 05:56:34,4,1.18,1,N,140,4,2,8.45,0,0.5,0,0,0.3,9.25,0,0
2,2023-06-22 08:46:54,2023-06-22 09:19:54,4,4.82,1,Y,236,87,1,31.05,0,0.5,4.66,0,0.3,36.51,0,0
2,2023-07-04 19:31:53,2023-07-04 20:16:53,4,12.09,1,N,238,120,1,55.23,0,0.5,8.28,2.55,0.3,66.86,0,0
1,2023-06-07 07:08:41,2023-06-07 07:42:41,1,11.2,1,N,107,163,1,47.5,0,0.5,7.13,0,0.3,55.43,0,0
2,2023-06-12 23:59:30,2023-06-12 24:29:30,2,10.68,1,N,141,202,1,44.2,0,0.5,6.63,0,0.3,51.63,0,0
2,2023-11-21 04:10:32,2023-11-21 04:41:32,3,13.73,1,N,137,229,1,52.33,0,0.5,7.85,0,0.3,60.98,0,0
1,2023-08-23 08:58:58,2023-08-23 09:32:58,4,15.05,1,N,232,42,2,57.13,0,0.5,0,7.84,0.3,65.77,0,0
1,2023-11-21 08:51:46,2023-11-21 09:00:46,4,2.79,1,N,128,263,1,13.98,1,0.5,2.1,0,0.3,17.88,0,0
1,2023-03-01 19:07:59,2023-03-01 19:31:59,2,12.84,1,N,128,137,1,46.6,0,0.5,6.99,0.35,0.3,54.74,0,0
1,2023-07-13 00:43:36,2023-07-13 01:13:36,4,6.06,1,N,116,234,1,32.65,0.5,0.5,4.9,0,0.3,38.85,0,0
2,2023-07-04 21:59:09,2023-07-04 22:31:09,3,14.84,1,N,68,246,1,55.6,0.5,0.5,8.34,0,0.3,67.74,2.5,0
1,2023-10-07 23:59:47,2023-10-07 24:37:47,1,14.04,1,Y,162,234,2,56.6,0,0.5,0,0,0.3,57.4,0,0
1,2023-06-05 18:27:53,2023-06-05 19:00:53,1,4.91,1,N,45,237,1,31.28,0,0.5,4.69,0,0.3,39.27,2.5,0
2,2023-09-10 10:05:03,2023-09-10 10:34:03,1,7.3,1,N,244,74,2,35.25,0.5,0.5,0,0,0.3,36.55,0,0
2,2023-04-12 07:54:55,2023-04-12 08:10:55,4,1.99,1,N,127,103,1,15.48,1,0.5,2.32,0,0.3,19.6,0,0
2,2023-11-24 10:09:01,2023-11-24 10:30:01,4,12.77,1,N,234,152,1,44.93,0,0.5,6.74,0,0.3,52.47,0,0
1,2023-02-23 05:03:19,2023-02-23 05:31:19,3,7.63,1,N,166,88,2,35.58,0.5,0.5,0,0,0.3,36.88,0,0
2,2023-09-11 12:40:01,2023-09-11 13:01:01,2,4.52,1,N,233,68,1,24.3,0,0.5,3.65,0,0.3,28.75,0,0
1,2023-07-09 15:56:38,2023-07-09 16:07:38,3,3.82,1,N,125,128,1,17.55,1,0.5,2.63,7.44,0.3,29.42,0,0
1,2023-10-11 13:35:33,2023-10-11 13:58:33,1,11.08,1,N,153,4,1,41.7,0,0.5,6.26,0,0.3,48.76,0,0
2,2023-06-24 17:19:44,2023-06-24 17:56:44,1,2.64,1,N,125,238,1,27.6,0,0.5,4.14,0,0.3,32.54,0,0
2,2023-07-11 21:43:38,2023-07-11 22:06:38,3,1.78,1,N,100,103,1,18.45,0.5,0.5,2.77,0,0.3,25.02,2.5,0
1,2023-09-27 09:10:30,2023-09-27 09:53:30,2,14.41,1,N,152,194,2,60.03,0,0.5,0,0,0.3,60.83,0,0
1,2023-05-10 16:17:37,2023-05-10 16:50:37,1,10.2,1,N,152,114,1,44.5,1,0.5,6.68,6.65,0.3,59.63,0,0
